id_pregunta,categoria,modelo,pregunta,score_gemini,clasificacion_gemini,conceptos_encontrados,conceptos_faltantes,alucinaciones,justificacion_gemini,tiempo_segundos,num_docs_recuperados
1,libro_reclamaciones,mistral:7b-instruct,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,2,correcto,Reclamo: problemas o deficiencias en el producto o servicio | Queja: trato al consumidor o servicio al cliente,,,"La respuesta del chatbot explica correctamente la diferencia fundamental entre queja y reclamo, coincidiendo con la referencia. Además, añade información legal precisa sobre los plazos de respuesta y el Artículo 13 del Reglamento de Protección al Consumidor, lo que la hace más completa sin incurrir en errores.",5.89,3
2,telecomunicaciones,mistral:7b-instruct,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,0,incorrecto,Reclamar primero a la empresa prestadora del servicio,Interponer denuncia ante INDECOPI si la respuesta de la empresa no satisface,"Menciona y describe una institución inexistente en Perú llamada Organismo de Resolución de Conflicto Telecomunicaciones (ORCT), con un sitio web y número de teléfono inventados. | Cita el Decreto Supremo N° 015-2012-JUS, que no está relacionado con derechos del consumidor en telecomunicaciones, y una Resolución Directoral de la inexistente ORCT.","Aunque el chatbot acierta en el primer paso (reclamar al operador), introduce una institución (ORCT) y fuentes legales completamente inventadas, lo que es una alucinación grave. Además, omite la mención de INDECOPI como siguiente instancia, haciendo que la respuesta sea incorrecta y engañosa para el usuario.",2.66,3
3,indecopi,mistral:7b-instruct,¿Qué diferencia una denuncia de una reclamación?,0,incorrecto,reclamación es expresión de insatisfacción | reclamación busca atención o rectificación de la empresa,reclamo se realiza a través del Libro de Reclamaciones | denuncia es una solicitud a INDECOPI | denuncia busca sancionar al proveedor con multa | denuncia se presenta por vulneración de derechos del consumidor | primero debe realizarse el reclamo antes de la denuncia,la denuncia es un acto judicial para informar al fiscal general o a los tribunales sobre una infracción de la ley,"La definición de 'denuncia' del chatbot es para un contexto judicial/penal, no para una denuncia administrativa de consumo ante INDECOPI en Perú, lo que constituye un error de dominio y contradice la referencia.",2.28,3
4,inmobiliario,mistral:7b-instruct,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,1,parcial,Área del inmueble | Precio exacto | Forma y plazos de pago | Forma de resolver controversias,Penalidades | Coincidencia con ofertas y publicidad/negociaciones previas,Mención de una sentencia de la Sala Constitucional del Tribunal Constitucional con un identificador de caso probablemente inventado (049-2018-SC/TC-CCAA-T),"La respuesta del chatbot cubre la mayoría de los conceptos clave de la referencia y añade información valiosa, pero omite la importante condición de que los datos contractuales deben coincidir con la publicidad, y menciona una sentencia judicial con un identificador de caso que parece inventado.",4.77,3
5,servicios_financieros,mistral:7b-instruct,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?",0,incorrecto,Derecho a pagar por adelantado (aunque con restricciones incorrectas) | No se pueden imponer comisiones injustificadas,Aplicabilidad del derecho a todos los créditos o deudas con instituciones financieras | El derecho se ejerce libremente | El banco no puede negarse a recibir el pago,"La afirmación de que si la entidad financiera establece una fecha determinada, puede ser un impedimento para el ejercicio del derecho a pagar anticipadamente, lo cual contradice el carácter libre e irrestricto de este derecho. | Restricción del derecho a 'créditos Mi Vivienda', cuando es un derecho general para todos los créditos. | Mención de 'Superintendencia de Bancos del Perú' en lugar de 'Superintendencia de Banca, Seguros y AFP (SBS)' (una imprecisión menor en el nombre).","La respuesta del chatbot es incorrecta porque contradice directamente el derecho del consumidor a pagar por adelantado 'libremente' y sin que el banco pueda negarse, al sugerir que una fecha establecida por el banco puede ser un impedimento. Además, limita erróneamente el alcance del derecho a un tipo específico de crédito ('Mi Vivienda').",2.22,3
6,indecopi,mistral:7b-instruct,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?,,error_api,,,,"Error al llamar a Gemini: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",2.96,3
7,productos_defectuosos,mistral:7b-instruct,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?,2,correcto,derecho a solicitar el cambio de prenda | roturas o mala calidad | garantía implícita de calidad | recurrir ante INDECOPI | pasos para la reclamación,,,"La respuesta del chatbot es correcta, aborda la pregunta con una afirmación implícita de 'No' y explica el derecho del consumidor a un cambio por mala calidad, basándose en la garantía de calidad y ofreciendo pasos concretos y correctos para recurrir a INDECOPI.",2.77,3
8,servicios_financieros,mistral:7b-instruct,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?,2,correcto,prohibido cobrar sin previo aviso/información | debe informar adecuadamente sobre comisiones y gastos,,,"La respuesta del chatbot es correcta y se alinea con la referencia al indicar que el banco no puede cobrar sin previo aviso. Además, añade información pertinente sobre la necesidad de un tarifario y ejemplos de cobros válidos que deben ser informados.",1.26,3
9,libro_reclamaciones,mistral:7b-instruct,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?,1,parcial,Negocio digital debe tener libro de reclamaciones | Es una obligación legal,El libro de reclamaciones para negocio digital es virtual | El libro virtual tiene las mismas características que uno físico,,"El chatbot responde correctamente a la pregunta principal con un 'sí' y explica su propósito, pero omite información clave de la referencia sobre la naturaleza virtual del libro para negocios digitales y su equivalencia con el físico.",0.74,3
10,precios,mistral:7b-instruct,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?,1,parcial,Prohibición de aumentar el precio exhibido en tienda o web | Obligación de respetar el precio fijado | Necesidad de exhibir los precios de manera perceptible y contar con lista de precios,La aclaración de que se pueden cobrar recargos o pagos adicionales si estos son avisados clara y previamente por la empresa,"Título incorrecto para el Artículo 7 (menciona 'Medio de pago' en lugar de 'Información sobre el precio final' del Código de Protección y Defensa del Consumidor) | Atribución de reglas detalladas sobre la exhibición de promociones/descuentos al Artículo 7, el cual se enfoca en el precio total incluyendo impuestos, comisiones y recargos","La respuesta del chatbot acierta en la prohibición general de subir precios, pero omite la aclaración importante de la referencia sobre la posibilidad de recargos adicionales si son avisados clara y previamente. Además, presenta una imprecisión menor en el título de un artículo legal y una ligera desalineación en el contenido atribuido a él.",2.07,3
