id_pregunta,categoria,modelo,pregunta,score_gemini,clasificacion_gemini,conceptos_encontrados,conceptos_faltantes,alucinaciones,justificacion_gemini,tiempo_segundos,num_docs_recuperados
1,libro_reclamaciones,mistral:7b-instruct,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,,error_api,,,,"Error al llamar a Gemini: Expecting ',' delimiter: line 7 column 3 (char 209)",43.33,3
2,telecomunicaciones,mistral:7b-instruct,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,1,parcial,Reclamar primero a la empresa prestadora del servicio | La empresa debe brindar canales para el reclamo,"Si no hay satisfacción, se puede denunciar ante INDECOPI",,"El chatbot identifica correctamente el primer paso (reclamar al operador) y los canales para hacerlo. Sin embargo, omite completamente el segundo paso crucial de escalar el reclamo a INDECOPI si la respuesta inicial no es satisfactoria, lo cual es información esencial en la defensa del consumidor peruano.",38.28,3
3,indecopi,mistral:7b-instruct,¿Qué diferencia una denuncia de una reclamación?,1,parcial,Denuncia es una queja ante autoridades | Reclamación es un procedimiento para exigir cumplimiento de obligaciones | Ejemplo de reclamación por producto insatisfactorio,Reclamo/Queja es muestra de disconformidad del consumidor contra la empresa | Reclamo se hace a través del Libro de Reclamaciones | Denuncia es solicitud dirigida a INDECOPI | Propósito de denuncia: sancionar con multa al proveedor por vulnerar derechos | Orden: Primero debe realizarse el reclamo antes de la denuncia,"La denuncia de consumo es presentada por 'delito o infracción penal', cuando INDECOPI sanciona infracciones administrativas, no penales","La respuesta del chatbot explica la diferencia de manera muy general pero omite detalles cruciales y específicos del derecho del consumidor peruano, como INDECOPI, el Libro de Reclamaciones y la naturaleza administrativa de las infracciones. Además, desvía el concepto de 'denuncia' hacia 'delitos o infracciones penales', lo cual es una imprecisión significativa en este contexto.",32.37,3
4,inmobiliario,mistral:7b-instruct,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,1,parcial,Área del inmueble | Precio exacto | Forma y plazos de pago | Condiciones de la venta,Penalidades | Forma de resolver controversias | Coincidencia con ofertas y ofrecimientos dados en la publicidad o las negociaciones previas,,"La respuesta del chatbot es muy detallada y correcta en general, añadiendo información valiosa basada en el Código de Protección y Defensa del Consumidor. Sin embargo, omite explícitamente la mención de las 'penalidades' y la 'forma de resolver controversias', así como el importante principio de que los datos contractuales deben coincidir con la publicidad y ofertas previas, los cuales son puntos clave presentes en la respuesta de referencia.",55.96,3
5,servicios_financieros,mistral:7b-instruct,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?",1,parcial,Derecho a pagar anticipadamente préstamos,El banco no puede negarse a recibir el pago,"La mención del 'Bono de Buen Pagador' y las leyes relacionadas es información específica para el 'Nuevo Crédito Mi Vivienda' y no es relevante para el derecho general a pagar anticipadamente cualquier préstamo para evitar intereses, desviando el foco de la pregunta.","La respuesta del chatbot es 'parcial' porque, si bien acierta en el 'sí' y menciona el derecho a pagar anticipadamente, omite el punto clave de que el banco no puede negarse a recibir el pago. Además, incluye información irrelevante y específica sobre el 'Bono de Buen Pagador' que no aplica al derecho general de prepago y puede confundir al ciudadano.",26.43,3
6,indecopi,mistral:7b-instruct,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?,0,incorrecto,,No se puede exigir indemnización por daños y perjuicios a través del Libro de Reclamaciones o INDECOPI | La indemnización por los daños sufridos debe interponerse como un juicio ordinario ante el Poder Judicial,Afirmar que INDECOPI puede obligar a la empresa a indemnizarte por daños y perjuicios | Mencionar la Ley N° 28396 como 'Ley del Libro de Reclamaciones' (número de ley incorrecto para este fin) | Mencionar el Reglamento de la Ley del Libro de Reclamaciones (RD 014-2007-MP) como fuente (norma incorrecta),"El chatbot responde lo contrario ('Sí') a una pregunta de sí/no cuya respuesta correcta es 'No', lo que automáticamente califica como incorrecto. Además, alucina sobre las facultades de INDECOPI para otorgar indemnizaciones por daños y perjuicios y sobre las fuentes legales.",42.29,3
7,productos_defectuosos,mistral:7b-instruct,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?,0,incorrecto,"producto no cumple con calidad | exigir cambio o reembolso | pasos para reclamo (evidencia, contactar tienda, solicitar)",la tienda no puede negarse | obligación de la tienda de restituir un nuevo producto,Nombre de institución 'Consumidor Peruano (Organismo de Defensa del Consumidor y Defensoría del Cliente)' | Número y título de ley 'Ley N° 28710 del Consumidor y Servicios de la República del Perú (2012)',"La respuesta del chatbot inicia con 'Sí' cuando la respuesta correcta a la pregunta de '¿Pueden negarse...?' es 'No', contradiciendo directamente la referencia. Además, alucina con el nombre de una institución y el número y título de la ley pertinente.",46.1,3
8,servicios_financieros,mistral:7b-instruct,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?,1,parcial,Prohibición de cobrar comisiones/gastos sin aviso previo | Necesidad de informar adecuadamente antes de un aumento o cambio,,"La mención de 'la Séptima del Reglamento de Tarjetas de Crédito y Débito' como una referencia legal específica y directa es imprecisa y no estándar. | La cita del 'Reglamento de Tarjetas de Crédito y Débito, 2019' y su asociación con la 'Resolución Directoral N° 053/INF-SBS-2017' son incorrectas, ya que el año del reglamento y el número de resolución no corresponden a la normativa vigente.","El chatbot responde correctamente a la pregunta principal, indicando la prohibición de cobrar sin aviso previo. Sin embargo, sus alucinaciones en las referencias legales específicas (mención de 'la Séptima' y datos incorrectos de la resolución y año del reglamento) son imprecisiones graves que restan valor a la respuesta.",6.86,3
9,libro_reclamaciones,mistral:7b-instruct,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?,0,incorrecto,obligatoriedad del libro de reclamaciones para negocios digitales | el libro de reclamaciones puede ser virtual,aplica a todos los negocios (físicos o virtuales) | el libro de reclamaciones virtual tiene las mismas características que uno físico,La fuente citada 'Ley General de Protección al Consumidor (Decreto Legislativo N° 1025/2016)' es incorrecta. El Decreto Legislativo N° 1025 es de 2008 y no regula directamente el libro de reclamaciones.,"Aunque el chatbot acierta en la respuesta principal, la inclusión de una ley de soporte incorrecta y con datos erróneos constituye una alucinación grave en un contexto legal, lo que invalida la fiabilidad de la respuesta general.",3.43,3
10,precios,mistral:7b-instruct,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?,1,parcial,Prohibición de cobrar más del precio exhibido (local/web) | Transparencia sobre diferenciación de precio según medio de pago | No obligación de pagar sumas adicionales indebidas,,"La fuente citada 'Ley General del Consumidor N° 29456' es incorrecta. La norma de protección al consumidor en Perú es la Ley N° 29571, Código de Protección y Defensa del Consumidor. La Ley N° 29456 corresponde a la Ley de los Productos Farmacéuticos, Dispositivos Médicos y Productos Sanitarios.","La respuesta del chatbot es correcta en su contenido principal, cubriendo la prohibición de cobrar más y la necesidad de transparencia para recargos. Sin embargo, comete una alucinación grave al citar un número de ley incorrecto para la protección del consumidor, lo que penaliza la puntuación.",4.43,3
