id_pregunta,categoria,modelo,pregunta,score_gemini,clasificacion_gemini,conceptos_encontrados,conceptos_faltantes,alucinaciones,justificacion_gemini,tiempo_segundos,num_docs_recuperados
1,libro_reclamaciones,qwen2.5:14b,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,2,correcto,Diferencia entre queja y reclamo | Queja: Problemas con el trato o servicio al cliente | Reclamo: Problemas con el producto o servicio adquirido,,,"La respuesta del chatbot explica claramente la diferencia entre queja y reclamo, coincidiendo completamente con la información de la respuesta de referencia y sus ejemplos, sin ninguna imprecisión.",7.33,3
2,telecomunicaciones,qwen2.5:14b,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,1,parcial,Reclamar primero a la empresa prestadora del servicio | La empresa debe brindar medios o canales para presentar el reclamo | Existe una instancia de escalada si la respuesta del operador no es satisfactoria,Denuncia ante INDECOPI como institución para la escalada,,"La respuesta del chatbot identifica correctamente el primer paso de reclamar a la empresa operadora y añade detalles útiles y correctos sobre el proceso. Sin embargo, difiere de la referencia al indicar a OSIPTEL como la institución para una denuncia posterior, en lugar de INDECOPI, que es mencionada en la respuesta de referencia.",5.79,3
3,indecopi,qwen2.5:14b,¿Qué diferencia una denuncia de una reclamación?,1,parcial,Reclamo es por disconformidad con producto/servicio al proveedor | Denuncia es un paso siguiente si no hay solución | Denuncia implica pedir ayuda a INDECOPI | Denuncia busca que INDECOPI sancione a la empresa | Denuncia es por infringir normas de protección al consumidor,Reclamo se realiza a través del Libro de Reclamaciones | Denuncia busca sancionar con una multa,,"La respuesta del chatbot capta la diferencia central y la secuencia entre reclamo y denuncia, identificando a INDECOPI para la denuncia. No obstante, omite detalles clave de la referencia, como el 'Libro de Reclamaciones' para el reclamo y la 'multa' como sanción.",2.1,3
4,inmobiliario,qwen2.5:14b,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,1,parcial,datos y condiciones de la venta (generales) | área del inmueble | precio exacto | forma y plazos de pago | penalidades,forma de resolver controversias (como cláusula contractual específica) | coincidencia con ofertas y ofrecimientos previos (publicidad o negociaciones),,"La respuesta del chatbot es muy completa y detallada, cubriendo la mayoría de los puntos esenciales de la referencia como el área, precio, forma de pago y penalidades. Sin embargo, omite explícitamente la necesidad de que los datos del contrato coincidan con ofertas previas o publicidad, un punto clave de los derechos del consumidor, y aborda la resolución de controversias de forma menos formal que la referencia.",9.1,3
5,servicios_financieros,qwen2.5:14b,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?",2,correcto,derecho a pagar por adelantado | créditos o deudas | institución financiera | libremente / no puede negarse a recibir el pago | para evitar intereses,,,"La respuesta del chatbot es correcta y exhaustiva. Cubre todos los conceptos clave de la referencia, afirmando el derecho a pagar por adelantado sin impedimentos ni cobros, y añade información muy relevante y precisa sobre cómo ejercer este derecho en Perú, incluyendo la elección entre reducir cuotas o plazo, y la solicitud de cronogramas actualizados.",8.03,3
6,indecopi,qwen2.5:14b,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?,1,parcial,"No se puede pedir indemnización por daños y perjuicios a través del Libro de Reclamaciones o INDECOPI | La indemnización por los daños sufridos debe interponerse como un juicio ordinario ante el Poder Judicial | INDECOPI puede tomar medidas correctivas (devoluciones o reemplazos), pero no otorgar indemnizaciones",,"El plazo de 5 días hábiles para que la empresa responda al reclamo es incorrecto (el plazo correcto en Perú es 15 días hábiles, prorrogables por 15 más)","La respuesta del chatbot es mayormente correcta y aborda los conceptos clave de la referencia, indicando que la indemnización debe buscarse en el Poder Judicial. Sin embargo, contiene una imprecisión menor sobre el plazo legal de respuesta de la empresa, lo cual, según los criterios especiales, penaliza la puntuación.",6.31,3
7,productos_defectuosos,qwen2.5:14b,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?,2,correcto,No pueden negarse a cambiar la prenda | Producto con roturas o mala calidad | Derecho a cambio o devolución del dinero | INDECOPI como instancia de denuncia,,,"El chatbot responde correctamente a la pregunta principal ('No') y cubre todos los conceptos clave de la referencia sobre el derecho del consumidor. Además, proporciona pasos detallados y precisos para ejercer dicho derecho en Perú, sin introducir información incorrecta.",6.33,3
8,servicios_financieros,qwen2.5:14b,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?,2,correcto,prohibición de cobros sin aviso | requisito de información adecuada/previa | Tarifario como medio de información | posibilidad de queja ante INDECOPI | Ley N° 29571 (Código de Protección y Defensa del Consumidor),,,"La respuesta del chatbot es correcta al negar la posibilidad de cobros sin aviso, alineándose con la referencia. Además, amplía la información al mencionar el Tarifario, la posibilidad de queja ante INDECOPI con pasos claros y la ley aplicable, sin presentar información incorrecta o alucinaciones.",6.43,3
9,libro_reclamaciones,qwen2.5:14b,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?,1,parcial,Negocio digital debe tener Libro de Reclamaciones (Sí) | Para empresas digitales es más común que sea en formato virtual | Fácilmente accesible para el consumidor,"Para negocio digital, el Libro de Reclamaciones es *virtual* (enfatizando la obligatoriedad del formato virtual) | Tiene las mismas características que un libro de reclamaciones físico",,"El chatbot responde correctamente a la pregunta principal con un 'Sí' y proporciona información adicional relevante. Sin embargo, introduce una imprecisión menor al decir que el libro 'puede ser físico o virtual' para negocios digitales, cuando la referencia especifica que 'es virtual', y omite la mención explícita de que tiene las mismas características que uno físico.",4.99,3
10,precios,qwen2.5:14b,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?,2,correcto,Prohibición de cobrar más del precio mostrado | El precio mostrado debe ser el precio total final | Posibilidad de cobros adicionales solo si son por servicios extras aceptados expresamente | Derecho a denunciar a INDECOPI | Pasos para denunciar un incidente,,,"La respuesta del chatbot es excelente y correcta, cubriendo todos los conceptos clave de la referencia y además brindando información útil y precisa sobre cómo actuar y dónde denunciar, lo cual es de gran valor para el ciudadano.",5.6,3
