id_pregunta,categoria,modelo,pregunta,respuesta,respuesta_referencia,fuentes,tiempo_segundos,num_docs_recuperados
1,libro_reclamaciones,mistral:7b-instruct,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?," La diferencia entre una queja y un reclamo en el Libro de Reclamaciones es la siguiente:

- Un reclamo se refiere a una falta o disconformidad con un producto o servicio específico. Se presenta a través del Libro de Reclamaciones del proveedor (físico o virtual) y obliga a la empresa a dar una respuesta formal. Ejemplos de temas relacionados con reclamos son: un televisor que no enciende, una tarjeta de crédito que no funciona correctamente o una compra en línea que no se envió.
- Una queja, por otro lado, expresa un malestar o descontento respecto a la atención recibida por parte del proveedor, pero que no se relaciona directamente con el producto o servicio adquirido. Por ejemplo: si el personal de seguridad de un establecimiento comercial es descortés o los servicios higiénicos están sucios, se debe presentar una queja.

En resumen, mientras el reclamo es una comunicación directa con la empresa para solucionar problemas con productos o servicios, la queja es sobre la atención o comportamiento del proveedor.","La reclamación trata sobre problemas o deficiencias en el producto o servicio en sí, como un aparato que no funcione o una comida contaminada, mientras que una queja trata sobre el servicio al cliente y el trato al consumidor por parte del establecimiento o proveedor, como un mesero que exija propina.",Guía de procedimientos INDECOPI - Reclamos y Denuncias | Guía de reclamos y quejas en el servicio público de telecomunicaciones | Guía de reclamos y quejas en el servicio público de telecomunicaciones,43.33,3
2,telecomunicaciones,mistral:7b-instruct,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?," Si tienes un problema con tu servicio de telefonía móvil, debes dirigirte al operador que provee dicho servicio. Puedes reclamar por falta de consentimiento, falta de cobertura, no retorno del número o falta de información sobre la portabilidad entre otros problemas. Si tu reclamo es a tu favor, el operador te devolverá tu línea al operador anterior o cancelará los cobros generados por la portabilidad en un plazo máximo de 1 mes contado desde el día siguiente en que recibes la resolución. Para realizar tu reclamo, puedes contactar al departamento de atención al cliente del operador o enviar una carta de reclamo detallando tus problemas y pidiendo solución.

Fuentes legales: Ley General de Comunicaciones (Law No. 28619, 2005) y Reglamento del Servicio de Portabilidad Nacional de las Telecomunicaciones Fijas e Móviles (Supreme Decree No. 013-2015-MTC, 2015).","El primer reclamo debe hacerse a la empresa prestadora del servicio, sea Claro, Movistar, Entel, etc. Ellos te deben brindar medios o canales para presentar tu reclamo. Si, luego de su respuesta, no sientes que han satisfecho tus derechos, puedes interponer una denuncia ante INDECOPI.",Guía de reclamos y quejas en el servicio público de telecomunicaciones | Guía de reclamos y quejas en el servicio público de telecomunicaciones | Guía de reclamos y quejas en el servicio público de telecomunicaciones,38.28,3
3,indecopi,mistral:7b-instruct,¿Qué diferencia una denuncia de una reclamación?," Una denuncia es un tipo de queja que se hace ante las autoridades competentes cuando se cree que se ha cometido algún delito o infracción penal. Por ejemplo, si hay una empresa que no cumple con su obligación legal y el ciudadano cree que se trata de un delito, podría denunciarlo a la autoridad competente.

Una reclamación es un procedimiento que se lleva a cabo ante una empresa o administración pública para exigir el cumplimiento de sus obligaciones legales. Por ejemplo, si un ciudadano compra un producto y no está satisfactorio, podría presentar una reclamación ante la empresa vendedora para que se le devuelva su dinero o se le reemplace el producto.

En resumen, una denuncia es utilizada para informar sobre delitos o infracciones, mientras que una reclamación es utilizada para exigir el cumplimiento de las obligaciones legales en relación con un producto o servicio comprado.",Un reclamo o queja es una muestra de disconformidad que brinda el consumidor contra la empresa o proveedor a través del Libro de Reclamaciones. Una denuncia es una solicitud dirigida a INDECOPI para que sancionen con una multa al proveedor o empresa por vulnerar tus derechos como consumidor. Primero debe realizarse el reclamo antes de acudir a la denuncia.,Resolución del Consejo Directivo N° 099-2022-CD-OSIPTEL | Resolución del Consejo Directivo N° 099-2022-CD-OSIPTEL | Resolución del Consejo Directivo N° 099-2022-CD-OSIPTEL,32.37,3
4,inmobiliario,mistral:7b-instruct,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?," Cuando compras un departamento de una inmobiliaria que sea considerada proveedora inmobiliaria, según el Código de Protección y Defensa del Consumidor (Código), el contrato de compraventa debe contener al menos lo siguiente:

1. Identidad completa del vendedor y comprador.
2. Descripción detallada del inmueble, incluyendo su ubicación exacta y dimensiones.
3. Precio total y forma de pago.
4. Fecha de entrega del inmueble y posibilidad de prórroga en caso de demoras.
5. Garantía por defectos ocultos o latentes.
6. Descripción detallada de las condiciones para la obtención de la posesión del inmueble, incluyendo el pago de impuestos y gastos de traslado.
7. Condiciones sobre la garantía de calidad del inmueble.
8. Cláusulas de rescisión (cancelación del contrato), por parte del comprador y el vendedor, incluyendo las condiciones para su ejercicio.
9. La responsabilidad civil de ambas partes en caso de daños causados a la otra durante la vigencia del contrato.
10. Condiciones sobre la entrega del certificado de habilitación y otros documentos legales necesarios para el traspaso legal del inmueble.

Si el contrato no contiene estos elementos, es posible que el consumidor tenga derecho a rescindir el contrato o reclamar la protección del Código de Protección y Defensa del Consumidor (Código).

Fuente: Artículos 153 al 164 del Código de Protección y Defensa del Consumidor.","Deben brindarse todos los datos y condiciones de la venta del departamento. Algunas cosas indispensables son el área del inmueble, el precio exacto, la forma y plazos de pago, las penalidades que hubieran y la forma de resolver controversias. Estos datos deben coincidir con las ofertas y ofrecimientos dados en la publicidad o las negociaciones previas.",Guía sobre productos y servicios inmobiliarios | Guía sobre productos y servicios inmobiliarios | Guía sobre productos y servicios inmobiliarios,55.96,3
5,servicios_financieros,mistral:7b-instruct,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?"," Sí, tienes derecho a pagar anticipadamente tus préstamos con el banco. Pero es importante saber que según la Ley 29033 y el Reglamento del Nuevo Crédito Mi Vivienda, si te reconocen como un buen pagador recibirás un bono por buen pagador. Si no cumples con los requisitos exigidos para este bono, podrías perderlo. Para más información sobre el bono de bien pagador y cómo podés pagar anticipadamente tus préstamos, consulta al banco o a la Superintendencia de Banca, Seguros y AFP (SBS).

Fuente: Ley N.° 29033, Ley de Creación del Bono de Buen Pagador y el Reglamento del Nuevo Crédito Mi Vivienda.","Sí. El consumidor tiene derecho a pagar por adelantado los créditos o deudas que haya contraído con la institución financiera, libremente. El banco no puede negarse a recibir el pago.",Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Lineamientos sobre Protección al Consumidor - Actualizado 2022,26.43,3
6,indecopi,mistral:7b-instruct,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?," Sí, puedes solicitar indemnización o reparación por los daños sufridos a través del Libro de Reclamaciones o INDECOPI. Para hacerlo, seguirías estos pasos:

1. Llenar el libro de reclamaciones que encontrarás en las oficinas del distrito o provincia donde sufrieron los daños. Debes indicar la empresa responsable y detallar los hechos alegando que tú han causado tu perjuicio.
2. En caso de que no resuelvan tu reclamo, puedes presentar una denuncia en INDECOPI. Para ello, debes llenar un formulario que encontrarás en su página web o directamente en la oficina. Deberás indicar los mismos datos y detalles de tu reclamo previo.
3. Después de presentar la denuncia, INDECOPI investigará el caso y emitirá una resolución que puede obligar a la empresa responsable a repararte o indemnizarte.

Fuentes:
- Ley N° 28396 - Ley del Libro de Reclamaciones
- Reglamento de la Ley del Libro de Reclamaciones (RD 014-2007-MP)
- INDECOPI - Instituto Nacional de Defensa de la Competencia y Protección de la Propiedad Intelectual","No. La reclamación y la denuncia por derechos de consumidor no permiten exigirle a la empresa o proveedor una indemnización por daños y perjuicios. La indemnización por los daños sufridos debe interponerse como un juicio ordinario, ante el Poder Judicial.",Cartilla informativa sobre SOAT | Cartilla informativa sobre SOAT | Cartilla informativa sobre SOAT,42.29,3
7,productos_defectuosos,mistral:7b-instruct,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?," Sí, puedes denunciar por una prenda de ropa con roturas o mala calidad. Según el derecho peruano, si compraste una prenda que no cumple con las expectativas básicas de calidad, puedes exigir que la tienda te cambie la prenda o que te reembolsen el dinero.

En práctica, para hacerlo debes tener en cuenta los siguientes pasos:
1. Conserve la evidencia: guarda la prenda con las roturas y toma fotografías detalladas de ellas.
2. Contacte a la tienda: comunícate con la tienda por teléfono o correo electrónico y explícales el problema que tienes con la prenda.
3. Solicite una cambio o reembolso: pídales que te cambien la prenda, o en su caso te reembolsen el dinero sin demoras.
4. Si no obtienes respuesta satisfactoria, puede hacer una denuncia a Consumidor Peruano (Organismo de Defensa del Consumidor y Defensoría del Cliente) para que se abra un caso contra la tienda.
5. Si es necesario, puede demandar legalmente a la tienda para recuperar el dinero o cambio.
6. La Ley N° 28710 del Consumidor y Servicios de la República del Perú (2012) es la norma legal que regula estos derechos.","No. Si el producto no cumple con la calidad, materiales o cualificaciones que se ofrecieron, entonces están obligados a restituirte un nuevo producto.",Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Lineamientos sobre Protección al Consumidor - Actualizado 2022,46.1,3
8,servicios_financieros,mistral:7b-instruct,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?," El banco no tiene permiso para cobrar comisiones u otros conceptos a tu tarjeta de crédito sin que antes te avisen. Esto es parte de las reglas legales peruanas sobre tarjetas de crédito, como la Séptima del Reglamento de Tarjetas de Crédito y Débito. En caso de que esto suceda y no hayas recibido una notificación previamente, puedes comunicarte con el banco para reclamar tu derecho.

Fuentes legales:
- Reglamento de Tarjetas de Crédito y Débito, 2019. (Resolución Directoral N° 053/INF-SBS-2017 del Superintendente de Bancos del Perú).",No. Está prohibido aumentar o cambiar las comisiones y otros gastos que pague el consumidor sin que primero se le informe adecuadamente.,Resolución SBS N° 3274-2017 | Resolución SBS N° 3274-2017 | Resolución SBS N° 3274-2017,6.86,3
9,libro_reclamaciones,mistral:7b-instruct,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?," Sí, una empresa o negocio digital tiene que tener un libro de reclamaciones. El libro de reclamaciones es donde se registra cualquier queja o problema que tenga el cliente con la empresa. Puedes verlo en forma física o virtual en su sitio web o local. Esto permite que puedas hacer un seguimiento de tu reclamo y solucionar problemas con más facilidad.

Fuente: Ley General de Protección al Consumidor (Decreto Legislativo N° 1025/2016)","Sí. Todos los negocios, sean con tienda física o virtual, deben contar con un libro de reclamaciones. En caso de un negocio digital, el libro de reclamaciones es virtual, y tiene las mismas características que un libro de reclamaciones físico.",Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor,3.43,3
10,precios,mistral:7b-instruct,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?," No, un proveedor no puede cobrarte más del precio que se indica en su local comercial o en su página web. En caso de diferenciación del precio según el medio de pago, la información debe estar destacada y visible para ti. Si el comercio incumple con esto y te cobra más dinero, no debes pagar las sumas adicionales.
Si hay ofertas, promociones, rebajas o descuentos, puedes utilizar cualquier medio de pago que desees, a menos que el comercio te informe previa y destacadamente sobre las condiciones y restricciones.

Fuente: Ley General del Consumidor N° 29456","No. Cualquier aumento o sobreprecio al precio que se exhibe en la página web o en la tienda física está prohibido. La empresa debe mostrar exactamente el precio final a cobrar, o avisar claramente si existe algún recargo o pago adicional.",Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor,4.43,3
