embedding,embedding_modelo,id_pregunta,categoria,modelo,pregunta,respuesta,respuesta_referencia,fuentes,tiempo_segundos,num_docs_recuperados
e5-large,intfloat/multilingual-e5-large,1,libro_reclamaciones,qwen2.5:14b,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,"Claro, te explico:

Una **queja** es cuando sientes malestar por algún detalle del servicio o ambiente del lugar donde hiciste tu compra. Por ejemplo, si los empleados no son amables contigo.

Un **reclamo**, por otro lado, es cuando hay un problema directamente con el producto que compraste o con el servicio que pagaste por recibir. Si la TV que compraste no enciende, esto sería para presentar un reclamo.

En resumen:
- La **queja** va sobre el trato recibido.
- El **reclamo** va sobre problemas específicos del producto o servicio adquiridos.

Recuerda siempre usar el Libro de Reclamaciones en estos casos.","La reclamación trata sobre problemas o deficiencias en el producto o servicio en sí, como un aparato que no funcione o una comida contaminada, mientras que una queja trata sobre el servicio al cliente y el trato al consumidor por parte del establecimiento o proveedor, como un mesero que exija propina.",Guía de procedimientos INDECOPI - Reclamos y Denuncias | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Código de Protección y Defensa del Consumidor,7.33,3
e5-large,intfloat/multilingual-e5-large,2,telecomunicaciones,qwen2.5:14b,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,"Si tienes un problema con tu servicio de telefonía móvil, primero debes presentar el reclamo al operador (la empresa telefónica) que te brinda el servicio. Aquí te explico cómo hacerlo paso a paso:

1. **Reúne la evidencia**: Para tu caso, necesitarás constatar la velocidad de tu internet y cualquier otro detalle relevante como mensajes de texto, correos electrónicos o conversaciones con atención al cliente que demuestren el problema.

2. **Completa un formulario**: Llena el formulario de reclamo proporcionado por tu operador. Asegúrate de incluir toda la información necesaria y adjunta los documentos que tengas como prueba (como la constancia de medición de velocidad).

3. **Entrega el formulario**: Puedes entregar el formulario a través del sitio web del operador o llamar al servicio al cliente para hacer tu reclamo.

4. **Espera una respuesta**: El operador tiene un plazo máximo de 10 días hábiles desde que reciben tu reclamo para dar una solución o revisarlo con pruebas técnicas.

5. **Si no obtienes resultados satisfactorios**, puedes presentar una queja ante el OSIPTEL (Organismo Supervisor de las Condiciones del Medio Competition y la Protección del Usuario de Servicios de Telecomunicaciones). Debes seguir un procedimiento similar, utilizando su formulario en línea o llamándolos directamente.

Recuerda ser claro y preciso al describir tu problema para que el operador pueda entenderlo bien y resolverlo adecuadamente.","El primer reclamo debe hacerse a la empresa prestadora del servicio, sea Claro, Movistar, Entel, etc. Ellos te deben brindar medios o canales para presentar tu reclamo. Si, luego de su respuesta, no sientes que han satisfecho tus derechos, puedes interponer una denuncia ante INDECOPI.",Guía de reclamos y quejas en el servicio público de telecomunicaciones | Guía de reclamos y quejas en el servicio público de telecomunicaciones | Resolución del Consejo Directivo N° 099-2022-CD-OSIPTEL,5.79,3
e5-large,intfloat/multilingual-e5-large,3,indecopi,qwen2.5:14b,¿Qué diferencia una denuncia de una reclamación?,"Una reclamación es cuando tienes un problema con un producto o servicio que compraste. Por ejemplo, si tu televisor no funciona después de la compra, puedes presentar un reclamo al proveedor directamente.

Una denuncia es el paso siguiente si la empresa no resuelve tu problema o te trataba mal. Con una denuncia, pides ayuda a INDECOPI para que intervenga y sancione a la empresa por infringir las normas de protección al consumidor.",Un reclamo o queja es una muestra de disconformidad que brinda el consumidor contra la empresa o proveedor a través del Libro de Reclamaciones. Una denuncia es una solicitud dirigida a INDECOPI para que sancionen con una multa al proveedor o empresa por vulnerar tus derechos como consumidor. Primero debe realizarse el reclamo antes de acudir a la denuncia.,Guía de procedimientos INDECOPI - Reclamos y Denuncias | Guía del usuario de la Línea 1 del Metro de Lima y Callao | Lineamientos sobre Protección al Consumidor - Actualizado 2022,2.1,3
e5-large,intfloat/multilingual-e5-large,4,inmobiliario,qwen2.5:14b,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,"Cuando te den el contrato de compraventa para tu departamento, este debe incluir información esencial para entender lo que estás comprando. Aquí te explico qué debería tener:

1. **Datos básicos**: Los nombres y direcciones completas tanto del vendedor (inmobiliaria) como tuya.
2. **Descripción detallada del inmueble**: Debes saber exactamente cuál es el departamento que estás comprando, incluyendo su ubicación y características especiales.
3. **Datos registrales**: Información sobre la propiedad en registros oficiales (partida registral).
4. **Áreas y medidas**: Tamaño del departamento y áreas comunes si las hay.
5. **Precio de venta**: El monto total que pagarás por el departamento.
6. **Forma de pago**: Cómo y cuándo debes pagar, como un pago inicial más cuotas o todo al contado.
7. **Entrega del inmueble**: Fecha exacta en la que recibirás el departamento.
8. **Penalidades**: Si no pagas a tiempo o haces algo que incumpla con lo acordado, qué consecuencias tendrías.

Si estás financiando parte de la compra:
9. **Detalles del crédito**: Información clara sobre intereses y tasas, cuotas y sus fechas, así como beneficios por pagos a tiempo.
10. **Total que pagarás**: Suma final incluyendo el precio, intereses y gastos.

Además de esto:
- Deben darte una hoja resumen con toda la información financiera importante firmada por ambas partes.
- Se deben explicar claramente los canales para consultas y reclamos que puedes usar si tienes problemas.
- El contrato debe decir qué pasa si decides cancelar el acuerdo, incluyendo detalles sobre gastos administrativos o penalidades.

Si algo no te queda claro en el contrato, pide a la inmobiliaria que lo explique. Si sientes que estás siendo engañado o que te están ocultando información, puedes denunciarlo ante INDECOPI para que revisen si tus derechos como consumidor están siendo protegidos adecuadamente.

Recuerda siempre leer y entender bien el contrato antes de firmarlo.

Fuente: Código de Protección y Defensa del Consumidor, Ley N° 29571.","Deben brindarse todos los datos y condiciones de la venta del departamento. Algunas cosas indispensables son el área del inmueble, el precio exacto, la forma y plazos de pago, las penalidades que hubieran y la forma de resolver controversias. Estos datos deben coincidir con las ofertas y ofrecimientos dados en la publicidad o las negociaciones previas.",Guía sobre productos y servicios inmobiliarios | Guía sobre productos y servicios inmobiliarios | Guía sobre productos y servicios inmobiliarios,9.1,3
e5-large,intfloat/multilingual-e5-large,5,servicios_financieros,qwen2.5:14b,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?","Sí, tienes ese derecho. Cuando tengas un préstamo o tarjeta de crédito y quieras hacer pagos anticipados para reducir los intereses que debes pagar, las empresas financieras no pueden impedirte ni cobrarte por esto.

Aquí te explico cómo puedes hacerlo:

1. **Paga más de lo que normalmente deberías**: Si decides pagar una cantidad mayor a la cuota mensual que habitualmente te toca pagar, eso se considera un pago anticipado y reduce el saldo total del préstamo, así como los intereses.

2. **Indica claramente tu intención**: Cuando hagas el pago, es importante que le indiques al banco que deseas que ese pago excedente sea aplicado como anticipo para reducir tus deudas futuras en lugar de simplemente adelantar las cuotas del futuro.

3. **Requiere constancia**: Pídeles a la empresa un documento o constancia que demuestre tu elección y cómo se ha hecho el pago (si es anticipado o si es un adelanto).

4. **Solicita cambios en los plazos**: Si pagas por encima de dos cuotas, puedes pedir que te den una opción entre reducir el monto de las futuras cuotas manteniendo la fecha original del fin del préstamo o acortar el tiempo para terminar de pagar todo. Asegúrate de hacer tu elección y guardar el registro de esto.

5. **Pide cronogramas actualizados**: Si decides usar los pagos anticipados, puedes pedir que te envíen un nuevo cronograma de pagos con las modificaciones hechas por tus pagos adicionales. Esto generalmente debe entregarse en hasta 7 días después de tu solicitud.

Recuerda, el objetivo es reducir la carga financiera y los intereses que debes pagar por tu préstamo o tarjeta de crédito. Para más detalles sobre cómo gestionar tus finanzas y derechos como consumidor, puedes consultar al INDECOPI.","Sí. El consumidor tiene derecho a pagar por adelantado los créditos o deudas que haya contraído con la institución financiera, libremente. El banco no puede negarse a recibir el pago.",Código de Protección y Defensa del Consumidor | Resolución SBS N° 3274-2017 | Lineamientos sobre Protección al Consumidor - Actualizado 2022,8.03,3
e5-large,intfloat/multilingual-e5-large,6,indecopi,qwen2.5:14b,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?,"Según la ley, si tienes un problema con un producto o servicio y quieres buscar una solución, puedes usar el Libro de Reclamaciones para expresar tu queja. Sin embargo, si estás buscando una indemnización por daños (como dinero por sufrir un mal trato emocional), INDECOPI no puede darte esa indemnización. 

Aquí te explico qué puedes hacer:

1. **Usa el Libro de Reclamaciones**: En tu establecimiento comercial favorito, pide que te entreguen el libro donde se registran las quejas para escribir lo que te sucedió con un producto o servicio.

2. **Comunícate con la empresa**: La compañía tiene la obligación de responder a tu reclamo en el plazo estipulado por la ley (generalmente dentro de 5 días hábiles).

3. **Presenta una denuncia a INDECOPI**: Si no quedas satisfecho con la respuesta que te dan, puedes presentar una denuncia ante INDECOPI para que intervengan y tomen medidas correctivas contra el proveedor (como devolverte dinero o reemplazar un producto).

4. **Busca una indemnización legalmente**:
    - Si quieres buscar una indemnización por daños, como daño moral, debes hacerlo a través de los tribunales de justicia y no directamente a INDECOPI.

Para resumir, el Libro de Reclamaciones e INDECOPI pueden ayudarte a obtener correcciones o devoluciones, pero para buscar indemnizaciones por daños, necesitarás acudir al Poder Judicial.","No. La reclamación y la denuncia por derechos de consumidor no permiten exigirle a la empresa o proveedor una indemnización por daños y perjuicios. La indemnización por los daños sufridos debe interponerse como un juicio ordinario, ante el Poder Judicial.",Código de Protección y Defensa del Consumidor | Resolución Final N° 016-2022/CPC-INDECOPI-PUN | Decreto Supremo N° 011-2011-PCM,6.31,3
e5-large,intfloat/multilingual-e5-large,7,productos_defectuosos,qwen2.5:14b,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?,"No, no pueden negarse a cambiar tu prenda si está dañada o no cumple con las expectativas de calidad. Si tienes una prenda defectuosa, puedes llevársela al vendedor y pedirles que la cambien o te devuelvan el dinero. Aquí cómo hacerlo paso a paso:

1. **Revisa la Garantía**: Primero, asegúrate de revisar si la prenda tiene garantía voluntaria del fabricante o vendedor.

2. **Conserva la Factura y la Prenda**: Es importante guardar la factura donde se muestra que compraste esa prenda junto con ella misma (incluso en condiciones no óptimas).

3. **Comunícate con el Vendedor**: Ve al lugar donde hiciste la compra y habla directamente con ellos para explicar tu situación.

4. **Explica el Problema**: Muestra las roturas o problemas de calidad y cuéntales que quieres que te cambien la prenda o te devuelvan el dinero.

5. **Solicita Cambio o Reposición**: Si no obtienes respuesta favorable, puedes solicitar al vendedor que cambie la prenda por una similar en buen estado o te reembolsen el monto pagado.

6. **Denuncia si Es Necesario**: Si el comerciante se niega a ayudarte después de estos pasos, puedes denunciarlo ante INDECOPI para que intervengan y busquen una solución.

Recuerda, según la ley, tienes derecho a ser reembolsado o cambiado por un producto que no cumple con lo esperado.","No. Si el producto no cumple con la calidad, materiales o cualificaciones que se ofrecieron, entonces están obligados a restituirte un nuevo producto.",Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor | Lineamientos sobre Protección al Consumidor - Actualizado 2022,6.33,3
e5-large,intfloat/multilingual-e5-large,8,servicios_financieros,qwen2.5:14b,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?,"No, el banco no puede cobrarte comisiones o conceptos por tu tarjeta de crédito sin avisarte. Deberían informarte sobre cualquier costo que puedas tener a través de un Tarifario antes de que uses la tarjeta. Esto incluye costos como la reposición de la tarjeta si se pierde, la emisión de una nueva tarjeta adicional o tarjetas de beneficios especiales.

Si el banco intenta cobrarte algo sin haberlo explicado claramente y de forma previa en el Tarifario, puedes quejarte a INDECOPI. Aquí te explico cómo:

1. **Revisa la información del Tarifario**: Asegúrate de entender cuáles son los costos asociados a tu tarjeta antes de usarla.

2. **Documenta cualquier cobro no esperado**: Anota la fecha, el monto y detalles sobre por qué crees que este cobro es injusto.

3. **Comunícate con tu banco**: Explica por qué consideras que el cobro es incorrecto basándote en la información del Tarifario.

4. **Presenta una queja a INDECOPI si no resuelven el problema**: Puedes hacerlo online o enviando un correo electrónico a [info@indecopi.gob.pe](mailto:info@indecopi.gob.pe).

Recuerda, es importante que estés bien informado sobre los costos asociados a tu tarjeta para evitar sorpresas desagradables.

Fuente: Ley N° 29571 (Código de Protección y Defensa del Consumidor) y regulaciones relacionadas a las tarjetas de crédito en Perú.",No. Está prohibido aumentar o cambiar las comisiones y otros gastos que pague el consumidor sin que primero se le informe adecuadamente.,Cartilla informativa sobre Tarjetas de Crédito | Cartilla informativa sobre Tarjetas de Crédito | Resolución SBS N° 3274-2017,6.43,3
e5-large,intfloat/multilingual-e5-large,9,libro_reclamaciones,qwen2.5:14b,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?,"Sí, una empresa o negocio digital debe tener un Libro de Reclamaciones. Este puede ser físico o virtual, pero para las empresas digitales es más común que sea en formato virtual. El libro debe estar fácilmente accesible para ti como consumidor si deseas hacer alguna reclamación.

Lo que puedes hacer paso a paso:

1. **Busca el Libro de Reclamaciones**: Deberías poder encontrar un acceso al Libro de Reclamaciones en la página web del negocio o en cualquier plataforma digital donde hagas tus compras.
2. **Registra tu reclamo**: Si encuentras problemas con algún producto o servicio, registra tu queja en el libro siguiendo las instrucciones proporcionadas por el negocio. Asegúrate de dar toda la información necesaria para identificar tu caso.
3. **Recibe apoyo si lo necesitas**: El negocio debe ayudarte si te cuesta acceder al Libro o registrar tu reclamo. No dudes en pedir asistencia técnica.

Si tienes dificultades con el proceso, puedes poner una queja formal ante INDECOPI para que intervengan y resuelvan la situación.

Fuente: Código de Protección y Defensa del Consumidor, Ley N° 29571 (Artículos relevantes mencionados en el contexto).","Sí. Todos los negocios, sean con tienda física o virtual, deben contar con un libro de reclamaciones. En caso de un negocio digital, el libro de reclamaciones es virtual, y tiene las mismas características que un libro de reclamaciones físico.",Código de Protección y Defensa del Consumidor | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Decreto Supremo N° 011-2011-PCM,4.99,3
e5-large,intfloat/multilingual-e5-large,10,precios,qwen2.5:14b,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?,"No pueden aumentar el precio ni cobrarte más allá de lo que está mostrado inicialmente en la tienda o en su sitio web, siempre que no se trate de servicios adicionales como transporte o instalación que deban ser aceptados expresamente por ti. Si ves un precio en una etiqueta o en línea, ese es el precio total que deberías pagar, incluyendo impuestos y cargos aplicables.

Si te cobran más sin tu consentimiento explícito para algo adicional, puedes hacer una denuncia a INDECOPI (Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual). Aquí hay cómo podrías proceder:

1. Documenta bien el incidente: toma fotos del precio original, recibe copias de tu factura o cualquier comunicación por escrito donde te cobraron más.
2. Visita la página web oficial de INDECOPI (indecopi.gob.pe) y busca cómo presentar una queja en línea.
3. Sigue los pasos para reportar el caso, incluyendo enviar todos tus documentos como prueba.
4. Espera una respuesta del organismo; ellos investigarán tu denuncia.

Si necesitas ayuda adicional, también puedes llamar a INDECOPI o buscar más información sobre cómo presentar quejas en su sitio web.

Fuente: Resolución N.° 0391-2019/SPC-INDECOPI","No. Cualquier aumento o sobreprecio al precio que se exhibe en la página web o en la tienda física está prohibido. La empresa debe mostrar exactamente el precio final a cobrar, o avisar claramente si existe algún recargo o pago adicional.",Código de Protección y Defensa del Consumidor | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Código de Protección y Defensa del Consumidor,5.6,3
