embedding,embedding_modelo,id_pregunta,categoria,modelo,pregunta,respuesta,respuesta_referencia,fuentes,tiempo_segundos,num_docs_recuperados,prefiltrado
bge-m3,BAAI/bge-m3,1,libro_reclamaciones,qwen2.5:14b,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,"Claro, te explico la diferencia entre una queja y un reclamo:

1. **Queja**: Es cuando tienes algún malestar o descontento con el trato recibido en un establecimiento comercial, pero no tiene que ver directamente con los productos o servicios que compraste. Por ejemplo, si el personal de seguridad fue poco amable contigo.

2. **Reclamo**: Se utiliza cuando hay una falla o disconformidad específica con el producto o servicio que adquiriste. Es decir, si te llegó un producto roto, si no funciona como debería, o si tienes problemas con el servicio, entonces debes hacer un reclamo en el Libro de Reclamaciones.

Ambas son importantes para comunicar tus inquietudes, pero cada una trata sobre situaciones diferentes y tienen procedimientos distintos. Siempre es recomendable usar la queja cuando se trata del trato recibido y el reclamo cuando hay problemas con lo que compraste o contrataste.","La reclamación trata sobre problemas o deficiencias en el producto o servicio en sí, como un aparato que no funcione o una comida contaminada, mientras que una queja trata sobre el servicio al cliente y el trato al consumidor por parte del establecimiento o proveedor, como un mesero que exija propina.",Guía de procedimientos INDECOPI - Reclamos y Denuncias | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Decreto Supremo N° 011-2011-PCM,7.49,3,True
bge-m3,BAAI/bge-m3,2,telecomunicaciones,qwen2.5:14b,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,"Si tienes un problema con tu servicio de telefonía móvil, lo primero que debes hacer es contactar a la empresa operadora directamente. Aquí te explico cómo puedes proceder paso a paso:

1. **Contacta a la Empresa Operadora:** Llama al número gratuito o pagado que ofrece tu compañía telefónica para atender reclamos.

2. **Completa el Formulario de Reclamo:**
   - Ingresa tus datos personales y el correo electrónico donde te gustaría recibir respuestas.
   - Describe el problema específico que estás experimentando.
   - Proporciona información sobre tu servicio, como la empresa operadora, el número del servicio y cualquier otro dato relevante.

3. **Especifica tu Problema:**
   - Selecciona la materia reclamable (por ejemplo, calidad del servicio, facturación o cobro).
   - Elige el problema específico que describes claramente en el formulario.

4. **Envía tus Datos y Espera Respuesta:**
   - Una vez completado el formulario, envíalo a través de la línea telefónica, página web o personalmente.
   - La empresa operadora debe responder dentro del plazo establecido por OSIPTEL (generalmente es 5 días hábiles).

Si no obtienes una respuesta adecuada o estás insatisfecho con el resultado inicial, puedes presentar un recurso de apelación a través de los canales que te ofrece la empresa operadora. Recuerda guardar toda la documentación relacionada con tu reclamo y el proceso de solución.

**Si después del trámite con la empresa operadora sigues insatisfecho**, puedes dirigirte al OSIPTEL para presentar una queja sobre cómo fue manejado tu reclamo.

Recuerda, si necesitas ayuda adicional o no obtienes respuesta de la empresa, el OSIPTEL está disponible para ayudarte.","El primer reclamo debe hacerse a la empresa prestadora del servicio, sea Claro, Movistar, Entel, etc. Ellos te deben brindar medios o canales para presentar tu reclamo. Si, luego de su respuesta, no sientes que han satisfecho tus derechos, puedes interponer una denuncia ante INDECOPI.",Guía de reclamos y quejas en el servicio público de telecomunicaciones | Resolución del Consejo Directivo N° 099-2022-CD-OSIPTEL | Resolución del Consejo Directivo N° 099-2022-CD-OSIPTEL,7.46,3,True
bge-m3,BAAI/bge-m3,3,indecopi,qwen2.5:14b,¿Qué diferencia una denuncia de una reclamación?,"Claro, aquí te explico las diferencias entre un reclamo y una denuncia de forma sencilla:

- **Reclamo**: Es cuando tienes problemas con un producto o servicio que compraste. Por ejemplo, si tu televisor no funciona correctamente después de la compra. Puedes ir al Libro de Reclamaciones del establecimiento donde hiciste la compra para dejar constancia de tu problema y esperar una respuesta formal de la empresa.

- **Denuncia**: Usas esto cuando la empresa no resuelve el reclamo o si cometieron alguna falta según las leyes. Por ejemplo, si presentaste un reclamo por un televisor roto y la tienda no te dio una respuesta ni solucionó tu problema, puedes denunciar a INDECOPI para que intervengan y puedan sancionar a la empresa si es necesario.

En resumen, el reclamo es con la empresa directamente mientras que la denuncia es cuando necesitas ayuda de las autoridades para resolverlo.",Un reclamo o queja es una muestra de disconformidad que brinda el consumidor contra la empresa o proveedor a través del Libro de Reclamaciones. Una denuncia es una solicitud dirigida a INDECOPI para que sancionen con una multa al proveedor o empresa por vulnerar tus derechos como consumidor. Primero debe realizarse el reclamo antes de acudir a la denuncia.,Guía de procedimientos INDECOPI - Reclamos y Denuncias | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Lineamientos sobre Protección al Consumidor - Actualizado 2022,4.12,3,True
bge-m3,BAAI/bge-m3,4,inmobiliario,qwen2.5:14b,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,"Según las reglas establecidas en el Código de Protección y Defensa del Consumidor, cuando firmes un contrato de compra venta para adquirir un departamento con una inmobiliaria, este debe incluir la siguiente información mínima:

1. Los nombres completos y domicilios legales tanto del comprador como del vendedor.
2. Detalles sobre el departamento que estás comprando, como su dirección exacta y cualquier número de identificación o partida registral.
3. La descripción detallada del inmueble, incluyendo sus medidas perimétricas y acabados.
4. El precio total del departamento.
5. Cómo pagarás por el departamento (en cuotas, con una sola vez, etc.) y cuánto tiempo tienes para hacerlo.
6. La fecha en que recibirás el departamento y qué sucede si uno de los dos no cumple con lo acordado a tiempo.
7. Si hay métodos establecidos para resolver cualquier problema o conflicto que pueda surgir entre tú y la inmobiliaria.
8. El compromiso del vendedor (la inmobiliaria en este caso) de firmar todos los documentos necesarios para completar la venta.

Además, si estás comprando un departamento que aún no está terminado (como uno ""en planos""), deberán darte información adicional como:

- Resoluciones municipales y planos relacionados con el proyecto.
- Detalles sobre las características del edificio futuro y sus instalaciones.

Si el departamento ya está terminado, recibirás copias de la partida registral y los planos que demuestran cómo están conectadas las instalaciones eléctricas, agua, etc. Si hay áreas comunes como parques o piscinas, también tendrán que darte información sobre esas áreas.

Antes de firmar cualquier cosa, asegúrate de leer atentamente este contrato y entender bien lo que te está ofreciendo la inmobiliaria y tus responsabilidades al aceptarlo. Si tienes dudas, no dudes en pedir más explicaciones o asesoramiento legal.

Fuente: Artículo 78 del Código de Protección y Defensa del Consumidor, Ley N° 29571.","Deben brindarse todos los datos y condiciones de la venta del departamento. Algunas cosas indispensables son el área del inmueble, el precio exacto, la forma y plazos de pago, las penalidades que hubieran y la forma de resolver controversias. Estos datos deben coincidir con las ofertas y ofrecimientos dados en la publicidad o las negociaciones previas.",Código de Protección y Defensa del Consumidor | Guía sobre productos y servicios inmobiliarios | Guía sobre productos y servicios inmobiliarios,8.38,3,True
bge-m3,BAAI/bge-m3,5,servicios_financieros,qwen2.5:14b,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?","Sí, tienes ese derecho según la ley. Si estás pagando un préstamo a plazos, puedes hacer pagos adicionales antes de lo que está programado sin recibir penalizaciones. Esto ayuda a reducir el monto total de los intereses que debes pagar.

Aquí te explico cómo podrías actuar:

1. Comunícate con tu banco para confirmar cuánto estás dispuesto a pagar adicionalmente.
2. Realiza el pago extra según la forma habitual de abonos (transferencia, efectivo en sucursal, etc.).
3. Verifica que tus pagos adicionales se aplican primero a los intereses y luego al capital adeudado.

Recuerda que no pueden cobrarte comisiones por hacer este tipo de pago anticipado.

Si sientes que tu banco está dificultando el ejercicio de este derecho, puedes denunciarlo en INDECOPI.","Sí. El consumidor tiene derecho a pagar por adelantado los créditos o deudas que haya contraído con la institución financiera, libremente. El banco no puede negarse a recibir el pago.",Código de Protección y Defensa del Consumidor | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Lineamientos sobre Protección al Consumidor - Actualizado 2022,3.75,3,True
bge-m3,BAAI/bge-m3,6,indecopi,qwen2.5:14b,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?,"No puedes solicitar una indemnización directamente a través del Libro de Reclamaciones ni a INDECOPI. Estos recursos son para resolver problemas menores y hacer que las empresas corrijan sus errores, como devolver dinero o cambiar un producto defectuoso. Si has sufrido daños más serios como pérdidas financieras significativas, lesiones físicas o daño emocional, necesitas ir a la justicia ordinaria (un tribunal) para pedir una indemnización completa.

Estos son los pasos que debes seguir:

1. Documenta todos tus problemas y pruebas.
2. Intenta resolver el problema con la empresa directamente.
3. Si no funciona, usa el Libro de Reclamaciones o presentas tu caso a INDECOPI para pedir medidas correctivas.
4. Si sigues sufriendo daños serios, contrata a un abogado y presenta una demanda en un tribunal.

INDECOPI puede hacer que la empresa cambie su comportamiento incorrecto, pero no pueden darte dinero por tus problemas personales o financieros importantes. Eso es algo que debe decidir un juez después de escuchar tu caso.

Fuente: Artículos mencionados del Código de Protección y Defensa al Consumidor y contexto legal proporcionado sobre INDECOPI.","No. La reclamación y la denuncia por derechos de consumidor no permiten exigirle a la empresa o proveedor una indemnización por daños y perjuicios. La indemnización por los daños sufridos debe interponerse como un juicio ordinario, ante el Poder Judicial.",Decreto Supremo N° 011-2011-PCM | Guía de procedimientos INDECOPI - Reclamos y Denuncias | Resolución Final N° 016-2022/CPC-INDECOPI-PUN,5.04,3,True
bge-m3,BAAI/bge-m3,7,productos_defectuosos,qwen2.5:14b,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?,"No pueden negarte el cambio de una prenda si está defectuosa. Si encuentras un problema como roturas o baja calidad en tu ropa nueva, tienes derecho a que te la cambien sin costo adicional. Lo primero que debes hacer es llevar la prenda al lugar donde la compraste para que evalúen el problema. Luego, presenta una reclamación por escrito detallando el defecto y anexa cualquier prueba como fotos o recibos.

Si no resuelven tu solicitud dentro de un plazo razonable, puedes acudir a INDECOPI para que intervengan en tu caso. No tienes que aguantar recibir un producto de mala calidad; exige lo que te corresponde según la ley.

Fuente: Código de Protección y Defensa del Consumidor, Ley N° 29571","No. Si el producto no cumple con la calidad, materiales o cualificaciones que se ofrecieron, entonces están obligados a restituirte un nuevo producto.",Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor,3.47,3,True
bge-m3,BAAI/bge-m3,8,servicios_financieros,qwen2.5:14b,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?,"No, el banco no puede cobrarte comisiones o nuevos conceptos a tu tarjeta de crédito sin aviso previo. Antes de que puedan cobrar algo nuevo, deben notificarte con al menos 30 días de anticipación sobre cualquier nueva comisión o cargo. Si ya te están cobrando algo sin haber sido advertido con anterioridad, deberías contactar a tu banco para resolverlo y si es necesario, puedes presentar una queja ante INDECOPI.

Fuente: Ley N° 29571 - Código de Protección y Defensa del Consumidor.",No. Está prohibido aumentar o cambiar las comisiones y otros gastos que pague el consumidor sin que primero se le informe adecuadamente.,Resolución SBS N° 3274-2017 | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Cartilla informativa sobre Tarjetas de Crédito,2.57,3,True
bge-m3,BAAI/bge-m3,9,libro_reclamaciones,qwen2.5:14b,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?,"Sí, una empresa o negocio digital también debe tener un Libro de Reclamaciones, ya sea en forma física o virtual. Si el comercio se realiza online, la empresa tiene que implementar un Libro de Reclamaciones Virtual para que los clientes puedan dejar sus quejas y reclamos fácilmente.

Aquí te explico cómo puedes hacerlo:

1. **Busca el libro de reclamaciones:** Entra en el sitio web del negocio o busca dentro de la aplicación si hay una sección dedicada al Libro de Reclamaciones.
2. **Registra tu queja o reclamo:** Una vez que encuentres el Libro, debes poder registrar tu problema sin problemas. Si no sabes cómo hacerlo, puedes contactar a la empresa para pedirles ayuda.
3. **Espera una respuesta en 15 días hábiles:** Después de dejar tu queja o reclamo, la empresa tiene un plazo máximo de 15 días hábiles (días laborables) para responder.

Si no encuentras el libro de reclamaciones o te dan problemas al intentar registrar algo, puedes poner una denuncia ante INDECOPI.","Sí. Todos los negocios, sean con tienda física o virtual, deben contar con un libro de reclamaciones. En caso de un negocio digital, el libro de reclamaciones es virtual, y tiene las mismas características que un libro de reclamaciones físico.",Código de Protección y Defensa del Consumidor | Decreto Supremo N° 011-2011-PCM | Lineamientos sobre Protección al Consumidor - Actualizado 2022,4.62,3,True
bge-m3,BAAI/bge-m3,10,precios,qwen2.5:14b,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?,"No pueden aumentar el precio una vez que lo han mostrado a los consumidores. Si ves un producto con un precio específico en una tienda física o en una página web, ese es el precio al que debes pagar por él sin ninguna suma adicional, excepto si se trata de servicios adicionales como transporte o instalación que estén fuera del precio base y sean aceptados expresamente por ti.

Si te cobran algo más que lo mostrado, deberías denunciarlo. Recuerda también que el vendedor debe informarte antes si hay algún cargo adicional para un servicio extra.

Si esto sucede, puedes hacer una queja en INDECOPI. Aquí tienes los pasos básicos:

1. Documenta bien la situación: toma fotos del precio mostrado y cualquier recibo o factura.
2. Visita el sitio web de INDECOPI (www.indecopi.gob.pe) para denunciar el caso.
3. Sigue las instrucciones en línea para presentar tu queja.

Es importante actuar rápidamente si ocurre esto, ya que la ley está a tu favor como consumidor.

Fuente: Código de Protección y Defensa del Consumidor, Ley N° 29571 (artículos 4, 5, y 7).","No. Cualquier aumento o sobreprecio al precio que se exhibe en la página web o en la tienda física está prohibido. La empresa debe mostrar exactamente el precio final a cobrar, o avisar claramente si existe algún recargo o pago adicional.",Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor,5.02,3,True
